Austrolebias cinereus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias cyaneus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias ephemerus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Mato Grosso do Sul;Pantanal
Austrolebias ibicuiensis;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias jaegari;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias litzi;Peixe anual, Peixe das nuvens;Vulnerável (VU);Rio Grande do Sul;Pampa
Austrolebias nachtigalli;Peixe anual, Peixe das nuvens;Vulnerável (VU);Rio Grande do Sul;Pampa
Austrolebias nigrofasciatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias paucisquama;Peixe anual, Peixe das nuvens;Vulnerável (VU);Rio Grande do Sul;Pampa
Austrolebias pelotapes;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias pongondo;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias quirogai;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias univentripinnis;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias varzeae;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica
Automolus lammi;barranqueiro-do-nordeste, Pernambuco Foliage-gleaner, Ticotico de Pernambuco;Em Perigo (EN);Alagoas, Bahia, Paraíba, Pernambuco, Sergipe;Mata Atlântica
Bachia didactyla;Lagarto-Ápodo, Lagarto-sem-Pata;Em Perigo (EN);Mato Grosso, Rondônia;Amazônia, Cerrado
Bachia psamophila;Lagarto-ápodo, Lagarto-sem-pata;Criticamente em Perigo (CR);Tocantins;Cerrado
Balaenoptera borealis;Baleia-sei, baleinoptère de Rudolphi, ballena boba, ballena sei, coalfish whale, espadarte, rorcual boreal, rorcual de Rudolphi, rorqual boréal, rorqual sei, Rudophi's rorqual, sardine whale, sei whale;Em Perigo (EN);Rio Grande do Sul, São Paulo;Sistema Costeiro-Marinho
Balaenoptera musculus;Baleia-azul, Ballena azul, Blue whale, Rorqual bleu;Criticamente em Perigo (CR);Rio Grande do Sul;Sistema Costeiro-Marinho
Balaenoptera physalus;Baleia-fin, Baleine à nageoires, Baleine fin, Baleinoptère commune, Ballena aleta, Ballena boba, Common rorqual, Finback, Fin-backed whale, Finner, Fin whale, Herring whale, Razorback, Rorcual común, Rorqual commun;Em Perigo (EN);Pará, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Baryancistrus longipinnis;Acari, cari, cascudo;Criticamente em Perigo (CR);Pará;Amazônia
Baryancistrus niveatus;Acari;Criticamente em Perigo (CR);Goiás, Pará, Tocantins;Amazônia, Cerrado
Bathytoshia centroura;raia-amarela, raia-de-pedra, raia-prego, raia-prego-de-cauda-áspera;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Blastocerus dichotomus;Cerf des marais, Cervo-do-pantanal, Ciervo de los pantanos, Ciervo marismeño, Marsh deer, Sumpfhirsch;Vulnerável (VU);Bahia, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio Grande do Sul, Rondônia, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal
Boana buriti;Perereca-buriti, Perereca-de-pijama-buriti;Vulnerável (VU);Distrito Federal, Minas Gerais;Cerrado
Boana cymbalum;Campo Grande Treefrog, Perereca-gladiadora-de-sino;Extinta (EX);São Paulo;Mata Atlântica
Bokermannohyla napolii;;Vulnerável (VU);Minas Gerais;Cerrado
Bokermannohyla vulcaniae;Perereca-do-vulcão;Em Perigo (EN);Minas Gerais;Mata Atlântica
Bothrops alcatraz;Jararaca-de-alcatrazes;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Bothrops insularis;jararaca-ilhôa;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Bothrops muriciensis;Jararaca-de-Murici;Em Perigo (EN);Alagoas;Mata Atlântica
Bothrops otavioi;;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Bothrops pirajai;jararacuçu-tapete, Piraja's Lancehead;Em Perigo (EN);Bahia;Mata Atlântica
Bouchardia rosea;braquiópode;Em Perigo (EN);Bahia, Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Brachycephalus mirissimus;Pingo-de-ouro-brilhante;Vulnerável (VU);Santa Catarina;Mata Atlântica
Brachycephalus pernix;Pumpkin Toadlet, Sapinho-de-colete, Sapinho-dourado, Sapinho-pingo-de-ouro-sardento;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Brachycephalus quiririensis;;Em Perigo (EN);Santa Catarina;Mata Atlântica
Brachymyrmex micromegas;formiga, Formiga;Vulnerável (VU);São Paulo;Cerrado, Mata Atlântica
Brachyteles arachnoides;Buriqui, Buriquim, Mariquina, Mono, Mono-carvoeiro, Mono Grande, Muriki, Muriqui-do-sul, Muriquina, Muriquinina, Southern Muriqui, Woolly Spider Monkey;Em Perigo (EN);Minas Gerais, Paraná, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica
Brachyteles hypoxanthus;buriqui, buriquim, mariquina, mono, mono-carvoeiro, Mono Carvoeiro, mono-da-cara-manchada, Mono Grande, Muriki, muriqui-do-norte, muriquina, Northern Muriqui, Woolly Spider Monkey;Criticamente em Perigo (CR);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Bradypus torquatus;Aí-pixuna, Maned sloth, Maned three-toed sloth, Preguiça-de-coleira, Preguiça-preta;Vulnerável (VU);Bahia, Espírito Santo, Rio de Janeiro, Sergipe;Mata Atlântica
Brasileirinho cavaticus;;Criticamente em Perigo (CR);Bahia;Caatinga
Brasiliscincus caissara;Calango-liso-da-restinga;Em Perigo (EN);São Paulo;Mata Atlântica
Brasilomma enigmatica;Aranha;Em Perigo (EN);Minas Gerais;Cerrado, Mata Atlântica
Brycon devillei;Piabinha;Em Perigo (EN);Bahia;
Brycon gouldingi;Matrinxã, piabanha;Em Perigo (EN);Goiás, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Brycon insignis;Piabanha;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Brycon opalinus;Pirapitinga, Pirapitinga-do-Sul;Vulnerável (VU);Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica
Brycon orbignyanus;Piracanjuba;Criticamente em Perigo (CR);Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina;Cerrado, Mata Atlântica
Brycon vermelha;Vermelha;Em Perigo (EN);Espírito Santo, Minas Gerais;Mata Atlântica
Bryconamericus lambari;Lambari;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Burhinus bistriatus;Alcaraván Venezolano, Double-striped Thick-knee, téu-téu-da-savana;Vulnerável (VU);Amapá, Pará, Roraima;Amazônia
Cacajao hosomi;bicó, Black-headed Uacari, Mono Chucuto (espanhol), Ronsho-ronshome (yanomami), Uacari, Uakari;Em Perigo (EN);Amazonas;Amazônia
Cacicus koepckeae;Cacique de Koepcke, Selva Cacique, tecelão-do-acre;Vulnerável (VU);Acre;Amazônia
Calamodontophis ronaldoi;Cobra-espada-do-paraná;Em Perigo (EN);Paraná;Mata Atlântica
Calidris canutus;Correlimos Gordo, maçarico-de-papo-vermelho, Red Knot;Vulnerável (VU);Amapá, Bahia, Maranhão, Mato Grosso, Pará, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho
Calidris pusilla;Correlimos Semipalmeado, maçarico-rasteirinho, Semipalmated Sandpiper;Em Perigo (EN);Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Maranhão, Mato Grosso, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho
