Hypsolebias igneus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Cerrado
Hypsolebias janaubensis;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypsolebias longignatus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Ceará;Caatinga
Hypsolebias lopesi;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Cerrado
Hypsolebias macaubensis;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Caatinga
Hypsolebias magnificus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Cerrado
Hypsolebias marginatus;annual fish, killifish, pearl fish, peixe anual, Peixe das nuvens;Criticamente em Perigo (CR) (PE);Goiás;Cerrado
Hypsolebias mediopapillatus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Caatinga
Hypsolebias multiradiatus;annual fish, killifish, pearl fish, peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Tocantins;Cerrado
Hypsolebias nielseni;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Cerrado
Hypsolebias notatus;Peixe anual, Peixe-da-chuva, Peixe das nuvens;Em Perigo (EN);Goiás;Cerrado
Hypsolebias nudiorbitatus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Caatinga
Hypsolebias picturatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Cerrado
Hypsolebias radiseriatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Caatinga
Hypsolebias rufus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypsolebias shibattai;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Caatinga
Hypsolebias splendissimus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Caatinga
Hypsolebias stellatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Cerrado
Hypsolebias tocantinensis;Killifish, Pece anual, Peixe anual;Criticamente em Perigo (CR);Maranhão;Cerrado
Hypsolebias trilineatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypsolebias virgulatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Ianduba paubrasil;Aranha, Aranha-formiga;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Iandumoema setimapocu;Aranha-bode, Aranha-fedorenta, Opilião;Vulnerável (VU);Minas Gerais;Cerrado
Iandumoema smeagol;Aranha-bode, Aranha-fedorenta, Opilião;Em Perigo (EN);Minas Gerais;Cerrado
Iandumoema uai;Aranha-bode, Aranha-fedorenta, Opilião;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Iansaoniscus georginae;Tatuzinho;Criticamente em Perigo (CR);Bahia;Caatinga
Iansaoniscus iraquara;Tatuzinho;Criticamente em Perigo (CR);Bahia;Caatinga
Ideoroncus cavicola;Falso-escorpião, pseudoescorpião;Em Perigo (EN);Paraná, São Paulo;Mata Atlântica
Inia araguaiaensis;Araguaian Boto, Araguaia river dolphin, Boto-do-Araguaia;Vulnerável (VU);Goiás, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Inia geoffrensis;Amazon River Dolphin, Boto, boto-cor-de rosa, Boto da Amazônia, boto-vermelho, Bufeo Colorado, Pink Dolphin, Pink River Dolphin, Toninha;Em Perigo (EN);Acre, Amapá, Amazonas, Pará, Rondônia, Roraima;Amazônia
Iodopleura pipra;anambezinho, Buff-throated Purpletuft, Cotinguita Pipra;Em Perigo (EN);Alagoas, Bahia, Espírito Santo, Minas Gerais, Paraíba, Paraná, Pernambuco, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica, Sistema Costeiro-Marinho
Iodopleura pipra leucopygia;anambezinho;Em Perigo (EN);Alagoas, Paraíba, Pernambuco;Mata Atlântica
Iodopleura pipra pipra;anambezinho;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, São Paulo;Mata Atlântica
Isbrueckerichthys saxicola;Cascudo;Em Perigo (EN);Paraná;Mata Atlântica
Ischnocnema epipeda;Rãzinha-da-mata, Santa Teresa Robber Frog;Criticamente em Perigo (CR) (PE);Espírito Santo;Mata Atlântica
Ischnocnema garciai;Big-headed Frog, Rãzinha-da-mata-do-Garcia;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Ischnocnema karst;Rãzinha-do-folhiço;Vulnerável (VU);Minas Gerais;
Ischnocnema manezinho;rã-manezinha, rãzinha-do-folhiço-da-ilha, robber frog;Em Perigo (EN);Santa Catarina;Mata Atlântica
Isoctenus corymbus;Aranha;Criticamente em Perigo (CR);Goiás;Cerrado, Mata Atlântica
Isogomphodon oxyrhynchus;cação-pato, cação-quati;Criticamente em Perigo (CR);Amapá, Maranhão, Pará;Sistema Costeiro-Marinho
Isotomiella uai;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Minas Gerais;Mata Atlântica
Isotomodes cariocus;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Pernambuco, Rio de Janeiro;Sistema Costeiro-Marinho
Isotomurus riparius;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Isurus oxyrinchus;anequim, mako-verdadeiro, marracho, tubarão-cavala, tubarão-mako;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Ituglanis bambui;Bagrinho-de-caverna;Criticamente em Perigo (CR);Goiás;Cerrado
Ituglanis cahyensis;;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Ituglanis epikarsticus;Bagrinho-de-caverna;Vulnerável (VU);Goiás;Cerrado
Ituglanis mambai;;Em Perigo (EN);Goiás;Cerrado
Ituglanis passensis;Bagrinho-de-caverna;Vulnerável (VU);Goiás;Cerrado
Ituglanis ramiroi;Bagrinho-de-caverna;Vulnerável (VU);Goiás;Cerrado
Iuiuia caeca;Cigarrinha;Vulnerável (VU);Bahia;Cerrado
Iuiuniscus iuiuensis;Tatuzinho;Vulnerável (VU);Bahia;Cerrado
Jenynsia sanctaecatarinae;;Em Perigo (EN);Santa Catarina;Mata Atlântica
Johngarthia lagostoma;caranguejo-amarelo;Em Perigo (EN);Espírito Santo, Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Joiceya praeclarus;Borboleta, Borboleta formigueira, Fadinha;Criticamente em Perigo (CR);Mato Grosso, Paraná;Cerrado, Mata Atlântica
Juscelinomys candango;Candango akodont, Candango Mouse, Rato-candango;Criticamente em Perigo (CR) (PE);Distrito Federal;Cerrado
Kajikia albida;agulhão-branco, marlin-branco, white marlin;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Kalyptodoras bahiensis;Peracuca;Em Perigo (EN);Bahia;Caatinga
Kentropyx vanzoi;Calango, Calanguinho, Calanguinho-listrado;Vulnerável (VU);Goiás, Mato Grosso, Mato Grosso do Sul, Rondônia;Amazônia, Cerrado, Pantanal
Kerodon acrobata;Acrobatic Cavy, Acrobatic Moco, Climbing Cavy, Mocó;Vulnerável (VU);Goiás, Tocantins;Cerrado
Kerodon rupestris;Mocó, Rock cavy;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Mato Grosso, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe, Tocantins;Caatinga, Cerrado, Mata Atlântica
Kiautagrion acutum;Agulhinha, Donzelinha, Donzelinha das bromélias, Lava-bunda, Lavadeira, Libélula, Libélula das bromélias;Criticamente em Perigo (CR);Bahia, Espírito Santo;Mata Atlântica
Kinnapotiguara troglobia;Cigarrinha;Vulnerável (VU);Rio Grande do Norte;Caatinga
Knipolegus franciscanus;Caatinga Black-Tyrant, maria-preta-do-nordeste, Viudita del río San Francisco;Vulnerável (VU);Bahia, Distrito Federal, Goiás, Minas Gerais, Tocantins;Caatinga, Cerrado
Kolpotocheirodon figueiredoi;;Criticamente em Perigo (CR);Bahia;Caatinga
Kryptolebias brasiliensis;Peixe das nuvens, Peixe não-anual;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Kryptolebias campelloi;Killifish, Pece anual, Peixe anual;Criticamente em Perigo (CR);Pará;Amazônia
Kryptolebias gracilis;Peixe das nuvens, Peixe não-anual;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Lagothrix lagothricha cana;Geoffroy’s/peruvian Woolly Monkey, Geoffroy`s Woolly Monkey, Macaco-barrigudo, Mono Barrigudo;Em Perigo (EN);Acre, Amazonas, Mato Grosso, Pará, Rondônia;Amazônia, Cerrado
Lagothrix lagothricha lagothricha;Churucu, Common woolly monkey, Humboldt’s woolly monkey, macaco barrigudo, Macaco-barrigudo, mono barrigudo, mono caparro, mono lanudo común, woolly monkey;Vulnerável (VU);Amazonas;Amazônia
Lagothrix lagothricha poeppigii;Caparro, Lowland Wolly Monkey, Macaco-barrigudo, Macaco-barrigudo-prateado, Mono Barrigudo, Poeppig’s woolly monkey, Silvery Woolly Monkey, Woolly Monkey;Vulnerável (VU);Acre, Amazonas;Amazônia
Laniisoma elegans;chibante, Cotinga Elegante, Shrike-like Cotinga;Em Perigo (EN);Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Laterallus spilopterus;Dot-winged Crake, Polluela overa, sanã-cinza;Em Perigo (EN);Rio Grande do Sul;Pampa, Sistema Costeiro-Marinho
Laterallus xenopterus;Burrito guarani, Rufous-faced Crake, sanã-se-cara-ruiva;Em Perigo (EN);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, São Paulo, Tocantins;Cerrado, Mata Atlântica
Latrunculia janeirensis;Esponja;Vulnerável (VU);Rio de Janeiro, São Paulo;Sistema Costeiro-Marinho
Lebiasina marilynae;;Vulnerável (VU);Pará;Amazônia
Lebiasina melanoguttata;;Vulnerável (VU);Pará;Amazônia
Lebiasina minuta;;Vulnerável (VU);Pará;Amazônia
Leistes defilippii;Lesser Meadowlark, Lesser Red-breasted Meadowlark, Loica Pampeana, Military Starling, Pampas Meadowlark, peito-vermelho-grande, Red-breasted Meadowlark;Regionalmente Extinta (RE);Rio Grande do Sul;
Leodesmus yporangae;Piolho-de-cobra;Em Perigo (EN);São Paulo;Mata Atlântica
Leontopithecus caissara;Black-faced Lion Tamarin, mico-caiçara, Mico-leão-da-cara-preta, saguizinho, Schawarzkopf-Löwenäffchen, Superagui Lion Tamarin (Groves 2001), Tamarin-lion à tête noire, Titi león de cara negra;Em Perigo (EN);Paraná, São Paulo;Mata Atlântica
Leontopithecus chrysomelas;Golden-headed Lion Tamarin, Mico-leão-baiano, Mico-leão-da-cara-dourada, Tamarino León De Cabeza Dorada;Em Perigo (EN);Bahia, Minas Gerais;Mata Atlântica
Leontopithecus chrysopygus;Black Lion Tamarin, Golden-rumped Lion Tamarin, Goldsteißlöwenaffe, Mico-leão-preto, Sauim-preto, Schwarzer Löwenaffe, Tamarin-lion à croupe dorée, Tamarin-lion noir, Tamarino León Negro;Em Perigo (EN);São Paulo;Cerrado, Mata Atlântica
Leontopithecus rosalia;Golden Lion Tamarin, Goldgelbes Löwenäffchen, Mico-leão-dourado, Sauim-piranga, sauí-piranga, Tamarin-lion doré, Tamarino León, Titi León Dorado;Em Perigo (EN);Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Leopardus colocola;Gato de los pajonales, Gato de pajonal, Gato-dos-pampas, Gato pajero., Gato-palheiro, Pampas cat, Pantanal cat;Vulnerável (VU);Bahia, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais;Cerrado, Mata Atlântica
Leopardus geoffroyi;Gato Barcino, Gato-do-mato, Gato-do-mato-grande, Gato Montés, Geoffroy’s Cat, Mbaracayá, Sacha mishi, Tirica;Vulnerável (VU);Rio Grande do Sul;Pampa
Leopardus guttulus;chat tigre du sud, Gato-do-mato-do-sul, Mbaracayá, southern tiger cat, Southern tigrina, Tirica;Vulnerável (VU);Bahia, Espírito Santo, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho
Leopardus tigrinus;Gato-do-mato, Gato-maracajá, gato-maracajá-mirim, northern tiger cat, Pintadinho;Em Perigo (EN);Alagoas, Amapá, Amazonas, Bahia, Ceará, Goiás, Maranhão, Minas Gerais, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Rondônia, Roraima, Sergipe, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica
Leopardus wiedii;Burricón, Caucel, Chiví, Cunaguaro, Gato brasileño, Gato-do-mato, Gato-maracajá, Gato-peludo, Gato pintado, Gato tigre grande, Maracajá-peludo, Margay, Mbaracayá miní, Tigre gallinero, Tigrillo, Tirica malla grande;Vulnerável (VU);Acre, Alagoas, Amapá, Amazonas, Bahia, Espírito Santo, Goiás, Maranhão, Mato Grosso, Minas Gerais, Pará, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa
Lepidocharax diamantina;;Em Perigo (EN);Bahia;Caatinga
Lepidochelys olivacea;Tartaruga comum, Tartaruga-oliva, Tartaruga pequena, Xibirro;Vulnerável (VU);Pará, Paraíba, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Lepidothrix iris;cabeça-de-prata, Opal-crowned Manakin, Saltarín Opalescente;Em Perigo (EN);Maranhão, Mato Grosso, Pará;Amazônia
Lepidothrix iris iris;cabeça-de-prata;Em Perigo (EN);Maranhão, Mato Grosso, Pará;Amazônia
Lepidothrix vilasboasi;dançador-de-coroa-dourada, Golden-crowned Manakin, Saltarín Coronidorado;Em Perigo (EN);Pará;Amazônia
Leporacanthicus joselimai;Acari vampiro;Vulnerável (VU);Pará;Amazônia
Leporinus guttatus;Aracu;Vulnerável (VU);Pará;Amazônia
Leporinus pitingai;Aracu;Criticamente em Perigo (CR);Amazonas;Amazônia
Leposoma annectans;Teiú-pigmeu;Vulnerável (VU);Bahia;Mata Atlântica
Leposoma baturitensis;;Em Perigo (EN);Alagoas, Ceará;Caatinga, Mata Atlântica
Leposoma nanodactylus;;Em Perigo (EN);Bahia;Mata Atlântica
Leposoma puk;;Em Perigo (EN);Bahia;Mata Atlântica
Leposternon kisteumacheri;Cobra-cega, Cobra-de-duas-cabeças;Vulnerável (VU);Bahia, Minas Gerais;Caatinga, Mata Atlântica
Leposternon octostegum;Cobra-cega, Cobra-de-duas-cabeças;Em Perigo (EN);Bahia;Mata Atlântica
Leposternon scutigerum;Cobra-cega, Cobra-de-duas-cabeças;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Leptagrion bocainense;Agulhinha, Donzelinha, Donzelinha das bromélias, Lava-bunda, Libélula, Libélula das bromélias;Vulnerável (VU);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Leptasthenura platensis;Coludito Copetón, rabudinho, Tufted Tit-spinetail;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Leptodon forbesi;gavião-gato-do-nordeste, Milano Acollarado, White-collared Kite;Em Perigo (EN);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte, Sergipe;Caatinga, Mata Atlântica
Leptokoenenia pelada;microwhip scorpion, palpígrado;Criticamente em Perigo (CR);Pará;Amazônia
Leptokoenenia thalassophobica;microwhip scorpion, palpígrado;Em Perigo (EN);Pará;Amazônia
Leptolebias marmoratus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Leptopanchax citrinipinnis;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Leptopanchax itanhaensis;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Leptopanchax opalescens;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Leptopanchax splendens;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Limnodromus griseus;Agujeta Gris, maçarico-de-costas-brancas, Short-billed Dowitcher;Em Perigo (EN);Alagoas, Amazonas, Bahia, Ceará, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Rio Grande do Sul, Sergipe;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Linckia guildingi;estrela-do-mar;Vulnerável (VU);Bahia, Maranhão, Pará, Paraíba, Pernambuco, Rio de Janeiro;Sistema Costeiro-Marinho
Liolaemus arambarensis;Lagartixa-das-dunas;Em Perigo (EN);Rio Grande do Sul;Pampa
Liolaemus lutzae;Lagartinho-branco-da-areia, Lagartinho-branco-da-praia;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Liolaemus occipitalis;Lagartinho-das-dunas, Lagartixa-da-areia, Lagartixa-da-praia, Lagartixa-das-dunas;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa
Lipaugus conditus;Cotinga aligrís, Grey-winged Cotinga, saudade-de-asa-cinza;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Listrura camposae;Cambeva-minhoca-do-ribeira;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Listrura nematopteryx;;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Lithoxus lithoides;;Vulnerável (VU);Amazonas, Pará, Roraima;Amazônia
Litoblatta camargoi;Barata;Em Perigo (EN);Bahia;Caatinga
Lonchophylla bokermanni;;Vulnerável (VU);Bahia, Minas Gerais;Caatinga, Cerrado
Lonchophylla dekeyseri;Morceguinho-do-Cerrado;Em Perigo (EN);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Tocantins;Cerrado, Mata Atlântica
Lophiosilurus alexandri;Cambeva, Cururu, Linguado-do-São Francisco, Nhiquin-pacamã, Niquim, Pacamã, Pacamão, Peixe-sapo, Pocomã;Vulnerável (VU);Alagoas, Bahia, Minas Gerais, Pernambuco, Sergipe;Caatinga, Cerrado, Mata Atlântica
Lopholatilus villarii;batata, namorado-batata, peixe-batata;Vulnerável (VU);;Sistema Costeiro-Marinho
Lophornis gouldii;Coqueta Moteada, Dot-eared Coquette, topetinho-do-brasil-central;Vulnerável (VU);Maranhão, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado, Sistema Costeiro-Marinho
Loricaria coximensis;;Criticamente em Perigo (CR);Goiás, Mato Grosso, Mato Grosso do Sul;Cerrado
Loxosceles troglobia;Aranha-Marrom;Vulnerável (VU);Bahia;Cerrado
Luidia senegalensis;Estrela-do-mar, Nine-Armed Sea Star;Vulnerável (VU);Bahia, Maranhão, Pará, Paraná, São Paulo;Sistema Costeiro-Marinho
Lutjanus cyanopterus;Caranha, Caranha-do-fundo, Caranho, Cubbera snapper, Cubera, Guasinuco, Pargo caballo, Vermelho-caranho;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Lutjanus purpureus;Caribean snapper, Pargo, Pargo-cachucho, Pargo colorado, Pargo-verdadeiro, Southern red snapper, Vivaneau rouge;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Sistema Costeiro-Marinho
Lycalopex vetulus;hoary fox, hoary zorro, jaguarapitanga, kampfuchs, raposa-do-campo, raposinha, raposinha-do-campo, renard du Bresil, small-toothed dog, waptsã wa, zorro de campo común;Vulnerável (VU);Bahia, Ceará, Distrito Federal, Goiás, Maranhão, Mato Grosso, Minas Gerais, Piauí, Rondônia, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica
Lycomorphon brasiliense;besouro;Criticamente em Perigo (CR);São Paulo;Cerrado, Mata Atlântica
Lymnaea rupestris;Caramujo de água doce;Vulnerável (VU);Santa Catarina;Mata Atlântica
Lytechinus variegatus;green sea urchin, ouriço-lilás;Vulnerável (VU);Bahia, Ceará, Espírito Santo, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Macrostrombus costatus;milk conch;Vulnerável (VU);;Sistema Costeiro-Marinho
Macrothemis tessellata;Libélula;Vulnerável (VU);Mato Grosso, Minas Gerais, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica
Magnastigma julia;Borboleta, fadinha;Em Perigo (EN);Distrito Federal, Goiás, Minas Gerais;Cerrado, Mata Atlântica
Makaira nigricans;marlin-azul, marlin-negro;Em Perigo (EN);Bahia, Espírito Santo;Sistema Costeiro-Marinho
Malacoctenus brunoi;;Vulnerável (VU);Espírito Santo;Sistema Costeiro-Marinho
Malacoptila minor;Buco chico, Sichelmond-Faulvogel, Tamatia du Maranhao;Vulnerável (VU);Maranhão, Piauí;Amazônia, Caatinga, Cerrado
Maratecoara formosa;Killifish, Pece anual, Peixe anual, Peixe-da-chuva;Vulnerável (VU);Tocantins;Cerrado
Maratecoara splendida;annual-fish, killifish, Peixe anual;Vulnerável (VU);Tocantins;Cerrado
Maricaella duna;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Matagaia chromatopus;Aranha, Aranha-papa-mosca, aranha-saltadora;Vulnerável (VU);Pernambuco;Mata Atlântica, Sistema Costeiro-Marinho
Maxchernes iporangae;Falso-Escorpião, Pseudoescorpião;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Mazama nana;Brazilian dwarf brocket, Corzuela enana, Pygmy brocket, Veado-bororó-do-sul, Veado-mão-curta;Vulnerável (VU);Mato Grosso do Sul, Paraná, Rio Grande do Sul, Santa Catarina;Mata Atlântica
Mcclungia cymo fallens;Asa-de-vidro, Borboleta;Criticamente em Perigo (CR);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Megagidiella azul;;Vulnerável (VU);Mato Grosso do Sul;Cerrado
Megalobulimus cardosoi;Aruá-do-Mato;Criticamente em Perigo (CR);Alagoas;Mata Atlântica
Megalops atlanticus;amaripim, camburupu, camurupim, cangôa, cangurupi, pema, pirapema, pomboca, tarpão;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, São Paulo, Sergipe;Sistema Costeiro-Marinho
Melanocharacidium nigrum;;Em Perigo (EN);Amazonas, Roraima;Amazônia
Melanophryniscus admirabilis;Redbelly Toad, Sapinho-admirável-de-barriga-vermelha, Sapinho-da-barriga-colorida;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica
Melanophryniscus biancae;Sapinho-Bianca;Em Perigo (EN);Paraná, Santa Catarina;Mata Atlântica
Melanophryniscus cambaraensis;Brazilian Redbelly Toad, Redbelly toad, Sapinho-mão-vermelha-de-Cambará, Sapinho-verde, Sapinho-verde-de-barriga-vermelha;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Melanophryniscus dorsalis;Sapinho-da-barriga-colorida, Sapinho-da-barriga-vermelha, Sapinho-mão-vermelha-da-restinga;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Melanophryniscus klappenbachi;Klappenbach's Red-bellied Frog, Mão-vermelha-do-chaco;Vulnerável (VU);Mato Grosso do Sul;Pantanal
Melanophryniscus macrogranulosus;Sapinho-da-barriga-colorida, Sapinho-mão-vermelha-de-Torres, Sapinho-narigudo-de-barriga-vermelha, Torres Redbelly Toad;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Melanophryniscus montevidensis;Montevideo Redbelly Toad, Sapinho-mão-vermelha-de-Montevidéu;Vulnerável (VU);Rio Grande do Sul;Pampa
Melanophryniscus setiba;Restinga toadlet, Sapinho-da-restinga;Vulnerável (VU);Espírito Santo;Mata Atlântica
Melanorivulus crixas;annual-fish, killifish, Peixe anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus illuminatus;Peixe das nuvens, Peixe não-anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus karaja;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Tocantins;Cerrado
Melanorivulus kayapo;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Goiás, Tocantins;Cerrado
Melanorivulus kunzei;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus pinima;Peixe das nuvens, Peixe não-anual;Em Perigo (EN);Goiás;Cerrado
Melanorivulus rubromarginatus;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus rutilicaudus;Peixe das nuvens, Peixe não-anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus salmonicaudus;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus scalaris;Peixe das nuvens, Peixe não-anual;Em Perigo (EN);Mato Grosso do Sul;Cerrado
Melanorivulus ubirajarai;Killifish, Pece anual, Peixe anual;Vulnerável (VU);Goiás;Cerrado
Melanorivulus vittatus;Peixe das nuvens, Peixe não-anual;Em Perigo (EN);Goiás;Cerrado
Melinaea mnasias thera;Borboleta;Criticamente em Perigo (CR);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica
Melipona capixaba;abelha-sem-ferrão, pé-de-pau, uruçu-capixaba, uruçu-negra, uruçu-preta;Em Perigo (EN);Espírito Santo;Mata Atlântica
Melipona rufiventris;abelha-sem-ferrão, tuiuva, Tujuba, tujuva, uruçu-amarela;Em Perigo (EN);Goiás, Minas Gerais, São Paulo;Cerrado, Mata Atlântica
Melipona scutellaris;abelha-sem-ferrão, uruçu, Uruçu, uruçu-nordestina, uruçu-verdadeira;Em Perigo (EN);Bahia, Paraíba;Caatinga, Mata Atlântica
Mergus octosetaceus;Brazilian Merganser, pato-mergulhão, Pato Serrucho;Criticamente em Perigo (CR);Bahia, Goiás, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo, Tocantins;Cerrado, Mata Atlântica
Merulaxis stresemanni;entufado-baiano, Macuquiño de Stresemann, Stresemann's Bristlefront;Criticamente em Perigo (CR);Bahia, Minas Gerais;Mata Atlântica
Mesaphorura maricaensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Metagonia diamantina;Aranha-de-pernas-longas;Criticamente em Perigo (CR);Bahia;Caatinga
Metagonia potiguar;Aranha, Aranha-de-pernas-longas, aranha-treme-treme, aranha-vibratória;Criticamente em Perigo (CR);Rio Grande do Norte;Caatinga
Metopiellus painensis;Besouro;Em Perigo (EN);Minas Gerais;Cerrado
